Shortcut;Name;Phase;Molar Mass;Nutritional Energy; Charge;Melting Point;Boiling Point;Density;Heat Capacity;Linear Expansion Coefficient;Modulus of Elasticity;Thermal Conductivity;;;
sSubstance;sName;ttxPhases;fMolarMass;fNutritionalEnergy;iCharge;fMeltPoint;fBoilPoint;fDensity;fCp;fExpCoeff;fModElast;fThermalConductivity;; number of properties is not limited. as long as the name is in the first row and the variablename in the second!;
-;-;-;kg/mol;J/kg;-;K;K;kg/m3;J/(kg*K);-;-;W/(m*K);;;
NH3;Ammonia;gas;0.01703052;0;0;195.42;239.81;0.717;2165;;;;;;
H2SO4;SulfuricAcid;liquid;0.09807848;0;0;283;610;1840;4186;;;;;heat capacity for water at 1 bar and 20øC; H2SO4 concentration is assumed to be low
NO3;Nitrate;solid;0.0620049;0;0;;;804;1860;;;;;;
NO3;Nitrate;liquid;0.0620049;0;0;;;804;1860;;;;;;
CH4;Methane;gas;0.01604246;0;0;90.7;111.66;0.668;8916.7;;;;;;
Plastic;Plastic;solid;0.04347;0;0;;;980;;;;;;;
H2O2;HydrogenPeroxide;liquid;0.03401468;0;0;272.72;423.3;1450;1267;;;;;http://webbook.nist.gov/cgi/inchi/InChI%3D1S/H2O2/c1-2/h1-2H;
O3;Ozone;gas;0.0479982;0;0;81;161;2.144;;;;;;;
KO2;PotassiumSuperoxide;solid;0.0711;0;0;653.15;;2140;;;;;;;
KOH;PotassiumHydroxide;solid;0.05611;0;0;633.15;1593.15;2044;1180;;;;;;
LiOH;LithiumHydroxide;solid;0.02395;0;0;735;1197;1460;2071;;;;;;
H;Hydrogen;gas;0.00100794;0;0;14.15;20.25;0.084;709;;0.02;;;;
He;Helium;gas;0.0040026;0;0;1.15;4.25;0.17;5193;;0.1;;;;
Li;Lithium;solid;0.006941;0;0;453.65;1615.15;530;3582;58;1.16;;;;
Be;Beryllium;solid;0.009012182;0;0;1551.15;3243.15;1850;1825;12.3;10.03;;;;
B;Boron;solid;0.010811;0;0;2573.15;2823.15;2460;1026;;17.8;;;;
C;Carbon;solid;0.0120107;0;0;3923.15;5100.15;3510;709;1.2;54.5;;;;
C;Carbon;liquid;0.0120107;0;0;3923.15;5100.15;;600;;;;;;
C;Carbon;gas;0.0120107;0;0;3923.15;5100.15;;600;;;;;;
N;Nitrogen;gas;0.0140067;0;0;63.15;77.35;1.17;1042;;0.12;;;;
O;Oxygen;gas;0.0159994;0;0;54.15;90.15;1.33;92;;;;;;
F;Fluorine;gas;0.018998403;0;0;54.15;85.05;1.58;824;;;;;;
Ne;Neon;gas;0.0201797;0;0;24.15;27.15;0.84;1030;;0.1;;;;
Na;Sodium;solid;0.02298977;0;0;370.95;1156.15;970;1230;71;0.68;;;;
Mg;Magnesium;solid;0.024305;0;0;921.95;1380.15;1740;1020;26;3.54;;;;
Al;Aluminium;solid;0.026981538;0;0;933.55;2740.15;2700;900;23.8;7.22;;;;
Si;Silicon;solid;0.0280855;0;0;1683.15;2628.15;2330;700;7.6;9.88;;;;
P;Phosphorus;solid;0.030973761;0;0;317.25;553.15;1820;769;124;3.04;;;;
S;Sulfur;solid;0.032065;0;0;392.15;3104.15;2060;710;64.1;1.78;;;;
Cl;Chlorine;gas;0.035453;0;0;172.15;238.55;2.95;480;;;;;;
Ar;Argon;gas;0.039948;0;0;84.15;87.45;1.66;520;;0.16;;;;
K;Potassium;solid;0.0390983;0;0;336.45;1033.15;860;757;84;0.32;;;;
Ca;Calcium;solid;0.040078;0;0;1112.15;1757.15;1540;647;22.5;1.52;;;;
Sc;Scandium;solid;0.04495591;0;0;1812.15;3104.15;2990;568;;4.35;;;;
Ti;Titanium;solid;0.047867;0;0;1933.15;3560.15;4510;523;9;10.51;;;;
V;Vanadium;solid;0.0509415;0;0;2163.15;3653.15;6090;489;;16.19;;;;
Cr;Chromium;solid;0.0519961;0;0;2130.15;2945.15;7140;449;7.5;19.01;;;;
Mn;Manganese;solid;0.054938049;0;0;1517.15;2235.15;7440;480;23;5.96;;;;
Fe;Iron;solid;0.055845;0;0;1808.15;3023.15;7870;449;12;16.83;;;;
Co;Cobalt;solid;0.0589332;0;0;1768.15;3143.15;8890;421;13;19.14;;;;
Ni;Nickel;solid;0.0586934;0;0;1726.15;3003.15;8910;444;12.8;18.6;;;;
Cu;Copper;solid;0.063546;0;0;1356.55;2840.15;8920;385;16.8;13.7;;;;
Zn;Zinc;solid;0.06539;0;0;692.75;1180.15;7140;388;26.3;5.98;;;;
Ga;Gallium;solid;0.069723;0;0;302.95;2676.15;5910;371;18;5.69;;;;
Ge;Germanium;solid;0.07264;0;0;1210.55;3103.15;5320;320;6;7.72;;;;
As;Arsenic;solid;0.0749216;0;0;886.15;1090.15;5720;330;;3.94;;;;
